term,iv_cand_pref_n,iv_cdv_diff_c1,iv_cdv_val_c2,iv_prox_sup,iv_prox_sup_alt,iv_triv,cov_pre_polz,party_strength,cov_pk,cov_edu_recode_n,cov_expect_n,demog_age
iv_cand_pref_n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cdv_diff_c1,-0.1410694786904679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cdv_val_c2,0.009825852720573154,-0.05704404493239384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_prox_sup,-0.3882485922636587,0.00212225732807553,-0.009360895955532559,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_prox_sup_alt,-0.07270767506291415,0.10912849454298908,-0.056614052734453434,0.015018895579255979,NA,NA,NA,NA,NA,NA,NA,NA
iv_triv,-0.1619939646579361,0.22715530958139277,0.036905672833741035,0.03224420410238231,0.17337063317225698,NA,NA,NA,NA,NA,NA,NA
cov_pre_polz,-0.12817646168454733,0.6857738366140425,-0.043661091899527556,-0.018491060971269666,0.16069034746769087,0.3120923825637514,NA,NA,NA,NA,NA,NA
party_strength,-0.04347630138666136,0.1769708974418591,0.05352888585360149,-0.022241154884079704,0.07791349486900223,0.18554531992993004,0.35603319042787984,NA,NA,NA,NA,NA
cov_pk,-0.05456198310033078,0.0917659939416097,-0.04717511913140105,0.03849591188745651,0.151214004796479,0.18055406840110289,0.11813527897687263,0.01881627988954567,NA,NA,NA,NA
cov_edu_recode_n,-0.06353732670932775,0.09285077975864574,-0.08226787363741168,0.026005844833356932,0.2210560923469199,0.13622287830654675,0.059191696686315166,-0.027256042231470004,0.2835975854326628,NA,NA,NA
cov_expect_n,0.7401254726390819,-0.01790430259798764,0.030815648504446524,-0.4233694474460255,-0.00817796008397326,-0.08212302443889263,0.0011914993807475495,0.008086496957166293,-0.018435884334195213,-0.01451124564033765,NA,NA
demog_age,0.002122950606173887,0.11269492922409992,0.06497064309261265,-0.002440331588562947,-0.045051900881515304,0.21352397548507032,0.19800708486488833,0.15096382093582209,0.2116121277567746,-0.00520710680535928,0.02351534572109309,NA
