term,dv_cand_polz,iv_cand_pref_n,iv_cdv_diff_c1,iv_cdv_val_c2,iv_prox_sup,iv_prox_sup_alt,iv_triv,cov_pre_polz,cov_party3_n,party_strength,cov_pk,cov_edu_recode_n,cov_expect_n,cov_voted_n,cov_days,cand_change_dem,cand_change_gop,pref_switch,voted_early,demog_age
dv_cand_polz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cand_pref_n,-0.10544469890982931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cdv_diff_c1,-0.22988245121294196,-0.1410694786904679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cdv_val_c2,0.029969113665368027,0.009825852720573154,-0.05704404493239384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_prox_sup,0.05577677737253098,-0.3882485922636587,0.00212225732807553,-0.009360895955532559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_prox_sup_alt,0.02547920457174283,-0.07270767506291415,0.10912849454298908,-0.056614052734453434,0.015018895579255979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_triv,0.02565629299343754,-0.1619939646579361,0.22715530958139277,0.036905672833741035,0.03224420410238231,0.17337063317225698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_pre_polz,-0.3205809829849536,-0.12817646168454733,0.6857738366140425,-0.043661091899527556,-0.018491060971269666,0.16069034746769087,0.3120923825637514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_party3_n,-0.0321701655570898,0.15480343530748863,-0.06612963923970411,0.03088192725150816,-0.08699908609334965,-0.1274350579606156,-0.06510303732715085,-0.08309413020234907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
party_strength,-0.03994609472063569,-0.04347630138666136,0.1769708974418591,0.05352888585360149,-0.022241154884079704,0.07791349486900223,0.18554531992993004,0.35603319042787984,-0.014377313918009867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_pk,-0.008565425530480484,-0.05456198310033078,0.0917659939416097,-0.04717511913140105,0.03849591188745651,0.151214004796479,0.18055406840110289,0.11813527897687263,-0.06138111756168785,0.01881627988954567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_edu_recode_n,0.004294932792412306,-0.06353732670932775,0.09285077975864574,-0.08226787363741168,0.026005844833356932,0.2210560923469199,0.13622287830654675,0.059191696686315166,-0.12257724163746966,-0.027256042231470004,0.2835975854326628,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_expect_n,-0.11875408973004692,0.7401254726390819,-0.01790430259798764,0.030815648504446524,-0.4233694474460255,-0.00817796008397326,-0.08212302443889263,0.0011914993807475495,0.14016024915642603,0.008086496957166293,-0.018435884334195213,-0.01451124564033765,NA,NA,NA,NA,NA,NA,NA,NA
cov_voted_n,0.027777678757322916,-0.07748221831671653,0.17619327615142186,-0.044719378521189714,-0.0043667530010149825,0.17542802275452668,0.2564796288525181,0.2125372270425138,-0.024412750149181095,0.0793384815723969,0.16124318048691821,0.21053702900254992,0.01519343123094065,NA,NA,NA,NA,NA,NA,NA
cov_days,-0.023014299878748524,0.05606257407687928,-0.020264076328122518,0.0069459198002637034,-0.016343410854540066,-0.08190270272481737,-0.05942369315313006,-0.01102622539224164,0.029569399707825975,-0.02929579972684374,-0.0835394834689691,-0.06375161678667382,0.02468523713244014,-0.06293643843264317,NA,NA,NA,NA,NA,NA
cand_change_dem,0.4079942997857083,-0.043307005797411466,-0.04040201760808958,-0.1578984340713153,0.012548436858633003,-0.010845221316010453,-0.010393115307272827,-0.07480485248666044,0.01590061880096905,-0.015975261190162744,-0.030581228120188285,-0.011422445111084947,-0.0482838932187068,-0.012418263162660826,-0.028000318255039514,NA,NA,NA,NA,NA
cand_change_gop,0.006521436803713813,0.004960458231188555,0.012791498880304121,-0.2065566609690086,0.011940898515901783,-0.012511595832451079,1.0452526691533256e-4,0.0021554125630099683,-0.042957021925006396,-5.208320133571018e-5,-0.0180136201982503,-0.004691345636935825,-0.005771411144754772,-0.008800141705901132,0.05450490066055254,-0.1193759846687463,NA,NA,NA,NA
pref_switch,0.013400696774732861,-0.07672853146206551,0.13512870879301675,-0.03783478951460456,0.003500114515752609,0.05036818353800194,0.08415634575220525,0.17405924128584274,-0.03953420955773484,0.061947148952632314,0.052955817252878214,0.03908901349277237,-0.03524223433225842,0.02660758212076647,-0.018808486692156793,-0.06489013771129397,0.05060022046041318,NA,NA,NA
voted_early,-0.02748151983253778,-0.05150742705567137,0.019268066634217342,0.0028382327376047273,0.020836522892913472,0.004346831078402458,0.030614509664626283,0.04125940837986813,-0.04480721222482122,0.05480284361693436,0.0062704938538082336,0.007928026591860213,-0.03732864760464263,-0.32693901081603954,0.023817196190260605,-0.01357800567308144,0.010051708931550279,0.003703338140386746,NA,NA
demog_age,-0.01114123699902233,0.002122950606173887,0.11269492922409992,0.06497064309261265,-0.002440331588562947,-0.045051900881515304,0.21352397548507032,0.19800708486488833,0.062482544745039864,0.15096382093582209,0.2116121277567746,-0.00520710680535928,0.02351534572109309,0.1565952574963965,-0.03778356911618569,-0.04501132549751263,0.0019807023168800157,0.03697875416490693,0.04259502340028617,NA
